num_epochs,accuracy,file_name
13,0.9796,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=9_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
12,0.9772,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=11_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
25,0.9786,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=11_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
15,0.9748,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=11_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
11,0.9774,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=11_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
10,0.9768,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=13_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
22,0.9686,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=13_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
13,0.9768,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=13_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
15,0.975,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=5_width=null_filter=2_kernel=13_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
13,0.9776,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=3_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
10,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=3_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
